year,month,day,name,is_substitute
2025,1,1,신정,0
2025,1,28,설날 연휴,0
2025,1,29,설날,0
2025,1,30,설날 연휴,0
2025,3,1,삼일절,0
2025,3,3,삼일절 대체공휴일,1
2025,5,5,어린이날,0
2025,5,6,어린이날 대체공휴일,1
2025,5,15,부처님오신날,0
2025,6,6,현충일,0
2025,8,15,광복절,0
2025,10,3,개천절,0
2025,10,5,추석 연휴,0
2025,10,6,추석,0
2025,10,7,추석 연휴,0
2025,10,8,추석 대체공휴일,1
2025,10,9,한글날,0
2025,12,25,성탄절,0
2026,1,1,신정,0
2026,2,16,설날 연휴,0
2026,2,17,설날,0
2026,2,18,설날 연휴,0
2026,3,1,삼일절,0
2026,5,5,어린이날,0
2026,5,25,부처님오신날,0
2026,6,6,현충일,0
2026,8,15,광복절,0
2026,9,24,추석 연휴,0
2026,9,25,추석,0
2026,9,26,추석 연휴,0
2026,10,3,개천절,0
2026,10,9,한글날,0
2026,12,25,성탄절,0
